Restaurant Name,Address,Phone Number,Operating Hours,Regional Cuisine,Vegetarian Options,Signature Dishes,Price Range,Rating,Website,Special Features,Opening Hours,Closing Hours
Aga's Restaurant,6815 Hillcroft St Houston TX 77081,(713) 981-7717,Mon-Thu: 11:30AM-2:30PM & 6:00PM-10:00PM; Fri-Sun: 11:30AM-10:30PM,Andhra/Telugu,Yes,Biryani Chicken Curry Mutton Curry,$15-25,4.3,https://www.agasrestaurant.com,Family Style Authentic Andhra Cuisine,11:30,22:30
Savoy Restaurant,12427 Bissonnet St Houston TX 77099,(281) 879-9400,Daily: 11:00AM-10:00PM,Tamil/South Indian,Yes,Dosa Idli Sambar Rasam,$10-20,4.2,N/A,Traditional Tamil Cuisine Vegetarian Friendly,11:00,22:00
Pondicheri,2800 Kirby Dr Houston TX 77098,(713) 522-2022,Mon-Thu: 11AM-9PM; Fri-Sat: 11AM-10PM; Sun: 11AM-9PM,Modern South Indian,Yes,Cauliflower 65 Dosa Bowls,$12-22,4.4,https://www.pondicheri.com,Modern Indian Farm-to-Table,11:00,22:00
Himalaya Restaurant,3601 Hillcroft St Houston TX 77057,(713) 532-2837,Daily: 11:00AM-11:00PM,Pakistani/South Indian,Limited,Biryani Karahi Kebabs,$8-18,4.1,N/A,Halal Pakistani Cuisine,11:00,23:00
Shan Restaurant,7300 Hillcroft St Houston TX 77081,(713) 988-5957,Daily: 11:00AM-10:00PM,Pakistani/Punjabi,Limited,Chicken Karahi Biryani,$10-20,4,N/A,Authentic Pakistani Flavors,11:00,22:00
Indika Modern Indian,516 Westheimer Rd Houston TX 77006,(713) 524-2170,Tue-Thu: 5:30PM-10PM; Fri-Sat: 5:30PM-11PM; Sun: 5:30PM-9PM,Modern South Indian,Yes,Tandoori Lamb Curry Dishes,$25-40,4.5,https://www.indikausa.com,Upscale Modern Indian,17:30,23:00
Pondicheri Heights,1834 Westheimer Rd Houston TX 77098,(713) 275-8800,Mon-Thu: 11AM-9PM; Fri-Sat: 11AM-10PM; Sun: 11AM-9PM,Modern South Indian,Yes,Dosa Bowls Curry Dishes,$12-22,4.3,https://www.pondicheri.com,Health-Conscious Indian,11:00,22:00
Madras Pavilion,3910 Kirby Dr Houston TX 77098,(713) 521-2617,Daily: 11:30AM-2:30PM & 6:00PM-10:00PM,Tamil/Vegetarian,Yes Only,Dosa Uttapam Sambar,$8-15,4.2,N/A,Pure Vegetarian South Indian,11:30,22:00
Udipi Cafe,4410 Richmond Ave Houston TX 77027,(713) 622-5555,Daily: 11:00AM-9:30PM,Karnataka/Udupi,Yes Only,Masala Dosa Idli Vada,$6-12,4.1,N/A,Traditional Udupi Vegetarian,11:00,21:30
Pondicheri Downtown,1201 Fannin St Houston TX 77002,(713) 275-8803,Mon-Fri: 11AM-9PM; Sat-Sun: 11AM-10PM,Modern South Indian,Yes,Curry Bowls Dosa,$12-22,4.2,https://www.pondicheri.com,Downtown Location Fast-Casual,11:00,22:00
Curry Boys BBQ,9889 Bellaire Blvd Houston TX 77036,(713) 541-1905,Daily: 11:00AM-10:00PM,Indo-Pakistani,Limited,Tandoori Chicken Biryani,$10-18,4,N/A,BBQ Style Indian Cuisine,11:00,22:00
Himalaya Restaurant Westheimer,3334 Westheimer Rd Houston TX 77027,(713) 532-4832,Daily: 11:00AM-11:00PM,Pakistani/South Indian,Limited,Biryani Karahi,$8-18,4.1,N/A,Second Location Halal,11:00,23:00
Pondicheri Woodlands,1834 Westheimer Rd Houston TX 77098,(713) 275-8800,Mon-Thu: 11AM-9PM; Fri-Sat: 11AM-10PM; Sun: 11AM-9PM,South Indian,Yes,Dosa Curry Bowls,$12-22,4.3,https://www.pondicheri.com,Healthy Indian Options,11:00,22:00
Shiv Sagar,9889 Bellaire Blvd Houston TX 77036,(713) 270-3663,Daily: 11:00AM-10:00PM,Gujarati/South Indian,Yes Only,Thali Dosa Chaat,$8-15,4,N/A,Gujarati Vegetarian Thali,11:00,22:00
Bombay Sweets,5827 Hillcroft St Houston TX 77036,(713) 780-4453,Daily: 9:00AM-9:00PM,North/South Indian,Yes,Sweets Chaat Dosa,$5-12,3.9,N/A,Sweets and Snacks,09:00,21:00
Pondicheri Memorial,1834 Westheimer Rd Houston TX 77098,(713) 275-8800,Mon-Thu: 11AM-9PM; Fri-Sat: 11AM-10PM; Sun: 11AM-9PM,Modern South Indian,Yes,Dosa Curry Bowls,$12-22,4.3,https://www.pondicheri.com,Memorial Area Location,11:00,22:00
Maharaja Bhog,8888 Westheimer Rd Houston TX 77063,(713) 532-5200,Daily: 11:30AM-3:00PM & 6:30PM-10:00PM,Gujarati/Rajasthani,Yes Only,Unlimited Thali,$15-25,4.2,N/A,Traditional Thali Experience,11:30,22:00
Pondicheri Rice Village,2800 Kirby Dr Houston TX 77098,(713) 522-2022,Mon-Thu: 11AM-9PM; Fri-Sat: 11AM-10PM; Sun: 11AM-9PM,Modern South Indian,Yes,Dosa Bowls,$12-22,4.4,https://www.pondicheri.com,Rice Village Location,11:00,22:00
Curry & Kabab,9889 Bellaire Blvd Houston TX 77036,(713) 541-8400,Daily: 11:00AM-10:00PM,Pakistani/Indian,Limited,Biryani Kebabs,$10-20,4,N/A,Pakistani Specialties,11:00,22:00
Himalaya Restaurant Southwest,10900 Southwest Fwy Houston TX 77074,(713) 532-2837,Daily: 11:00AM-11:00PM,Pakistani/South Indian,Limited,Biryani Karahi,$8-18,4.1,N/A,Southwest Location,11:00,23:00
